Sample,Nitrosarchaeum,Candidatus Nitrocosmicus,Candidatus Nitrososphaera,NA,Methanobrevibacter,Methanocorpusculum,NA,Candidatus Methanomethylophilus,NA,NA,Abditibacterium,Bryocella,Granulicella,Terracidiphilus,Candidatus Koribacter,Bryobacter,NA,Candidatus Solibacter,Aridibacter,Blastocatella,JGI 0001001-H03,OLB17,Stenotrophobacter,NA,NA,RB41,NA,NA,Subgroup 10,NA,Luteitalea,Vicinamibacter,NA,NA,NA,NA,Iamia,Ilumatobacter,NA,IMCC26207,NA,NA,NA,NA,Actinomyces,F0332,Flaviflexus,Mobiluncus,Trueperella,Varibaculum,NA,Aeriscardovia,Alloscardovia,Bifidobacterium,Bombiscardovia,Gardnerella,NA,Corynebacterium,Lawsonella,NA,Dietzia,Mycobacterium,Gordonia,Nocardia,Rhodococcus,Williamsia,NA,NA,Euzebya,NA,Jatrophihabitans,Antricoccus,Blastococcus,Geodermatophilus,Klenkia,Modestobacter,NA,Nakamurella,NA,NA,Glycomyces,Angustibacter,Kineococcus,Kineosporia,Quadrisphaera,NA,Salana,Bogoriella,Georgenia,Brevibacterium,Actinotalea,Cellulomonas,Oerskovia,Brachybacterium,Dermabacter,Helcobacillus,Kineosphaera,Mobilicoccus,Fodinibacter,Janibacter,Knoellia,Ornithinibacter,Ornithinicoccus,Ornithinimicrobium,Oryzihumus,Serinicoccus,Terrabacter,Tetrasphaera,NA,Agromyces,Clavibacter,Conyzicola,Curtobacterium,Frigoribacterium,Frondihabitans,Galbitalea,Herbiconiux,Leucobacter,Lysinimonas,Marisediminicola,Pseudoclavibacter,Salinibacterium,NA,Acaricomes,Arthrobacter,Citricoccus,Enteractinococcus,Garicola,Glutamicibacter,Kocuria,Micrococcus,Neomicrococcus,Nesterenkonia,Paenarthrobacter,Paeniglutamicibacter,Pseudarthrobacter,Rothia,Yaniella,NA,Cellulosimicrobium,Isoptericola,Promicromonospora,NA,Ruania,NA,Actinoplanes,Couchioplanes,Luedemannella,Phytohabitans,Stackebrandtia,NA,Egicoccus,NA,Actinopolymorpha,Aeromicrobium,Flindersiella,Marmoricola,Nocardioides,NA,Cutibacterium,Haloactinopolyspora,NA,Actinokineospora,Actinomycetospora,Actinophytocola,Amycolatopsis,Lechevalieria,Prauserella,Pseudonocardia,Saccharopolyspora,NA,E1B-B3-114,Streptomyces,NA,Lipingzhangella,Nocardiopsis,Streptomonospora,Thermobifida,NA,Acrocarpospora,Nonomuraea,Actinomadura,NA,NA,Atopobium,Libanicoccus,Olsenella,Collinsella,Phoenicibacter,DNF00809,Enterorhabdus,Parvibacter,Slackia,NA,NA,NA,Rubrobacter,Gaiella,NA,NA,Conexibacter,Parviterribacter,Patulibacter,Solirubrobacter,NA,NA,NA,Armatimonas,NA,Chthonomonas,NA,NA,NA,Bacteroides,NA,NA,Barnesiella,NA,Dysgonomonas,Fermentimonas,Petrimonas,Proteiniphilum,NA,NA,Odoribacter,[Cytophaga] xylanolytica group,Alkaliflexus,Natronoflexus,NA,CAG-873,NA,NA,NA,Paludibacter,NA,Porphyromonas,Alloprevotella,Paraprevotella,Prevotella,Prevotella_7,Prevotella_9,Prevotellaceae Ga6A1 group,Prevotellaceae NK3B31 group,Prevotellaceae UCG-001,Prevotellaceae UCG-004,NA,WCHB1-32,NA,Alistipes,Anaerocella,Rikenellaceae RC9 gut group,NA,Macellibacteroides,Parabacteroides,Tannerella,NA,NA,Aurantisolimonas,Chitinophaga,Cnuella,Edaphobaculum,Ferruginibacter,Flaviaesturariibacter,Flavihumibacter,Flavisolibacter,Parafilimonas,Parasegetibacter,Puia,Rurimicrobium,Sediminibacterium,Segetibacter,Taibaiella,Terrimonas,UTBCD1,NA,Membranicola,NA,NA,Candidatus Amoebophilus,Algoriphagus,Belliella,Cesiribacter,Echinicola,Mariniradius,Nafulsella,Nitritalea,Rhodonellum,Tunicatimonas,NA,Cytophaga,Rhodocytophaga,Sporocytophaga,NA,Adhaeribacter,Hymenobacter,Nibribacter,Pontibacter,Chryseolinea,Ohtaekwangia,NA,NA,Arcicella,Dyadobacter,Emticicia,Fibrella,Flectobacillus,Larkinella,Persicitalea,Rudanella,Spirosoma,NA,NA,Blattabacterium,Candidatus Uzinura,Brumimicrobium,Crocinitomix,Fluviicola,Vicingus,NA,Aequorivita,Antarcticibacterium,Arenibacter,Capnocytophaga,Confluentibacter,Flavobacterium,Galbibacter,Gelidibacter,Leeuwenhoekiella,Myroides,Pricia,Salinimicrobium,Tenacibaculum,Ulvibacter,NA,NA,Apibacter,Bergeyella,Chishuiella,Chryseobacterium,Cloacibacterium,Empedobacter,Moheibacter,Ornithobacterium,Soonwooa,NA,NA,NA,Lentimicrobium,NA,NA,Arcticibacter,Mucilaginibacter,Parapedobacter,Pedobacter,Sphingobacterium,NA,NA,NA,NA,NA,Rhodohalobacter,NA,Rubrivirga,NA,Bacteriovorax,Peredibacter,Bdellovibrio,OM27 clade,NA,Oligoflexus,NA,Arcobacter,Pseudarcobacter,Campylobacter,Helicobacter,Wolinella,Sulfurospirillum,Sulfurovum,Anaerolinea,Flexilinea,NA,NA,NA,NA,NA,OLB13,NA,NA,NA,Candidatus Chloroploca,Chloronema,FFCH7168,Herpetosiphon,NA,NA,Kallotenue,NA,NA,Sphaerobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chroococcidiopsis SAG 2023,Nostoc BDU-40302,Oscillatoria PCC-6304,Arthrospira PCC-7345,Tychonema CCAP 1459-11B,NA,NA,NA,Candidatus Obscuribacter,NA,Vampirovibrio,NA,Mucispirillum,Deinococcus,Truepera,Candidatus Babela,NA,NA,NA,Desulfobulbus,Desulfovibrio,Mailhella,Bradymonas,NA,Pseudopelobacter,NA,NA,NA,NA,Fibrobacter,possible genus 04,Acholeplasma,Tumebacillus,Aneurinibacillus,Anaerobacillus,Bacillus,Cerasibacillus,Geobacillus,Gracilibacillus,Oceanobacillus,Ornithinibacillus,Pseudogracilibacillus,Terribacillus,Virgibacillus,NA,Marinococcus,Sinobaca,NA,Bhargavaea,Caryophanon,Chryseomicrobium,Chungangia,Domibacillus,Kurthia,Lysinibacillus,Paenisporosarcina,Planococcus,Planomicrobium,Psychrobacillus,Rummeliibacillus,Savagea,Solibacillus,Sporosarcina,NA,Salipaludibacillus,Tuberibacillus,NA,NA,Brevibacillus,Mesoplasma,Spiroplasma,Catenibacterium,Erysipelatoclostridium,Erysipelotrichaceae UCG-003,[Anaerorhabdus] furcosa group,Allobaculum,Breznakia,Erysipelothrix,Faecalicoccus,Holdemanella,Solobacterium,Turicibacter,NA,Exiguobacterium,Haloplasma,Abiotrophia,Aerococcus,Aerosphaera,Eremococcus,Facklamia,Globicatella,NA,Alkalibacterium,Atopococcus,Atopostipes,Carnobacterium,Desemzia,Dolosigranulum,Granulicatella,Jeotgalibaca,Lacticigenium,Trichococcus,NA,Enterococcus,Companilactobacillus,Fructilactobacillus,Fructobacillus,HT002,Lacticaseibacillus,Lactiplantibacillus,Lactobacillus,Latilactobacillus,Leuconostoc,Levilactobacillus,Ligilactobacillus,Limosilactobacillus,Paucilactobacillus,Weissella,NA,Brochothrix,Lactococcus,Lactovum,Streptococcus,Vagococcus,NA,Mycoplasma,Ureaplasma,Ammoniphilus,Cohnella,Paenibacillus,Saccharibacillus,Thermobacillus,NA,NA,Gemella,Aliicoccus,Auricoccus-Abyssicoccus,Jeotgalicoccus,Macrococcus,Nosocomiicoccus,Salinicoccus,Staphylococcus,NA,Laceyella,Melghirimyces,Novibacillus,Planifilum,Risungbinella,Thermoactinomyces,Thermoflavimicrobium,NA,NA,Christensenellaceae R-7 group,NA,NA,NA,Fonticella,NA,Candidatus Arthromitus,Clostridium sensu stricto 1,Clostridium sensu stricto 13,Clostridium sensu stricto 9,Proteiniclasticum,Sarcina,Youngiibacter,Eubacterium,NA,NA,Defluviitaleaceae UCG-011,[Eubacterium] hallii group,[Eubacterium] ruminantium group,[Eubacterium] ventriosum group,[Ruminococcus] gauvreauii group,[Ruminococcus] gnavus group,[Ruminococcus] torques group,Acetitomaculum,Agathobacter,Anaerocolumna,Anaerosporobacter,Anaerostipes,Blautia,Catonella,Cellulosilyticum,CHKCI001,Coprococcus,Dorea,Fusicatenibacter,Howardella,Johnsonella,Lachnoanaerobaculum,Lachnoclostridium,Lachnospira,Lachnospiraceae ND3007 group,Lachnospiraceae NK3A20 group,Lachnospiraceae NK4A136 group,Lachnospiraceae UCG-001,Lachnospiraceae UCG-010,Lachnospiraceae XPB1014 group,Marvinbryantia,Moryella,Oribacterium,Roseburia,Sellimonas,Shuttleworthia,Stomatobaculum,Tuzzerella,NA,Monoglobus,NA,Butyricicoccus,UCG-008,UCG-009,NA,Incertae Sedis,Fastidiosipila,HN-HF0106,Mageeibacillus,Saccharofermentans,NA,Colidextribacter,Intestinimonas,NK4A214 group,Oscillibacter,Oscillospira,UCG-002,UCG-005,V9D2013 group,NA,[Eubacterium] siraeum group,Candidatus Soleaferrea,Caproiciproducens,Faecalibacterium,Fournierella,Incertae Sedis,Negativibacillus,Ruminococcus,Subdoligranulum,NA,NA,Peptococcus,NA,NA,[Eubacterium] brachy group,[Eubacterium] nodatum group,Mogibacterium,S5-A14a,NA,Anaerococcus,Ezakiella,Fenollaria,Finegoldia,Gallicola,Helcococcus,Murdochiella,Parvimonas,Peptoniphilus,Tissierella,W5053,NA,Fusibacter,NA,NA,Acetoanaerobium,Clostridioides,Criibacterium,Filifactor,Paeniclostridium,Peptoanaerobacter,Peptoclostridium,Peptostreptococcus,Romboutsia,Terrisporobacter,NA,Sedimentibacter,NA,NA,Desulfosporosinus,Pelotomaculum,NA,NA,Acidaminococcus,Phascolarctobacterium,Anaerovibrio,Centipeda,Megamonas,Mitsuokella,Selenomonas,NA,Anaerospora,Pelosinus,Sporomusa,NA,Allisonella,Anaeroglobus,Dialister,Megasphaera,Negativicoccus,Veillonella,NA,NA,Symbiobacterium,Syntrophomonas,Thermaerobacter,Cetobacterium,Fusobacterium,NA,Leptotrichia,Oceanivirga,Sneathia,Streptobacillus,NA,NA,Gemmatimonas,Roseisolibacter,NA,Longimicrobium,YC-ZSS-LKJ147,NA,NA,NA,NA,NA,NA,NA,NA,Anaeromyxobacter,Archangium,Myxococcus,P3OB-42,NA,Vulgatibacter,NA,Haliangium,NA,Enhygromyxa,Nannocystis,NA,Phaselicystis,Jahnella,Pajaroellobacter,Polyangium,Sandaracinus,NA,NA,NA,Nitrospira,NA,NA,NA,NA,NA,NA,TM7a,NA,NA,NA,NA,AKYG587,SM1A02,NA,NA,NA,NA,NA,Fimbriiglobus,Gemmata,Zavarzinella,NA,Aquisphaera,Paludisphaera,Singulisphaera,Tundrisphaera,NA,Blastopirellula,Pir4 lineage,Pirellula,Rhodopirellula,Roseimaritima,NA,NA,Planctomicrobium,Rubinisphaera,SH-PL14,NA,NA,Acetobacter,Acidiphilium,Acidisphaera,Belnapia,Commensalibacter,Craurococcus-Caldovatus,Gluconobacter,Rhodopila,Rhodovastum,Roseococcus,Roseomonas,Rubritepida,NA,Azospirillum,Niveispirillum,Skermanella,NA,Asticcacaulis,Brevundimonas,Caulobacter,Phenylobacterium,PMMR1,NA,Hirschia,SWB02,NA,Defluviicoccus,NA,Dongia,Elstera,NA,NA,Pelagibius,Micavibrio,NA,NA,NA,Candidatus Paracaedibacter,Parvibaculum,Constrictibacter,NA,Reyranella,NA,NA,alphaI cluster,Bosea,Camelimonas,Methylobacterium-Methylorubrum,Methylocella,Microvirga,Psychroglaciecola,Salinarimonas,NA,NA,Arsenicitalea,Devosia,Pelagibacterium,NA,Hyphomicrobium,Pedomicrobium,NA,Kaistia,NA,[Rhizobium] sphaerophysae group,Aliihoeflea,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Aminobacter,Aquamicrobium,Aurantimonas,Aureimonas,Bartonella,Corticibacterium,Martelella,Mycoplana,Neorhizobium,Ochrobactrum,Paenochrobactrum,Phyllobacterium,Pseudaminobacter,Pseudochrobactrum,Pseudorhizobium,Shinella,Tianweitania,NA,Alsobacter,Phreatobacter,NA,Afipia,Ancylobacter,Bradyrhizobium,Nitrobacter,Pseudorhodoplanes,Rhodoplanes,Xanthobacter,NA,NA,Amaricoccus,Cereibacter,Falsirhodobacter,Gemmobacter,Limibaculum,Methylarcula,Oceanicella,Oceaniovalibus,Paenirhodobacter,Paracoccus,Profundibacterium,Rubellimicrobium,Rubrimonas,NA,NA,Magnetospirillum,Insolitispirillum,Novispirillum,NA,NA,Wolbachia,Rickettsia,NA,NA,Altererythrobacter,Blastomonas,Croceicoccus,DSSF69,Ellin6055,Erythrobacter,Novosphingobium,Porphyrobacter,Qipengyuania,Rhizorhapis,Sandarakinorhabdus,Sphingoaurantiacus,Sphingobium,Sphingomonas,Sphingopyxis,Sphingorhabdus,Stakelama,NA,NA,Candidatus Alysiosphaera,Geminicoccus,NA,NA,NA,Achromobacter,Advenella,Candidimonas,Oligella,Paenalcaligenes,Pigmentiphaga,Pusillimonas,Verticiella,NA,Aquaspirillum,NA,Burkholderia-Caballeronia-Paraburkholderia,Lautropia,Limnobacter,Ralstonia,NA,Chitinimonas,Vogesella,Acidovorax,Aquabacterium,Azohydromonas,Caenimonas,Comamonas,Corticibacter,Curvibacter,Delftia,Hydrogenophaga,Hylemonella,Inhella,Leptothrix,Limnohabitans,Polaromonas,Pseudorhodoferax,Ramlibacter,Rhizobacter,Simplicispira,Variovorax,Xylophilus,NA,Methylobacillus,Methylophilus,Methylotenera,Alysiella,Bergeriella,Conchiformibius,Eikenella,Neisseria,NA,Ellin6067,mle1-7,MND1,Nitrosospira,Duganella,Herbaspirillum,Janthinobacterium,Massilia,Noviherbaspirillum,Oxalicibacterium,Telluria,NA,Procabacter,Azoarcus,Azospira,Dechloromonas,Propionivibrio,Thauera,Uliginosibacterium,NA,NA,Parasutterella,Sutterella,NA,NA,Cardiobacterium,Suttonella,NA,Ignatzschineria,Wohlfahrtiimonas,NA,Aquicella,Rickettsiella,NA,Aeromonas,Tolumonas,Zobellella,Alteromonas,Rheinheimera,Citrobacter,Escherichia-Shigella,Klebsiella,Pseudocitrobacter,Raoultella,NA,Erwinia,Tatumella,NA,Aliidiomarina,Idiomarina,Arsenophonus,Buchnera,Candidatus Hamiltonella,Proteus,Providencia,NA,Frischella,Orbus,NA,Aggregatibacter,Frederiksenia,Gallibacterium,Haemophilus,Pasteurella,NA,Pectobacterium,Pseudoalteromonas,Psychromonas,Shewanella,Anaerobiospirillum,Ruminobacter,Succinivibrio,Photobacterium,Vibrio,Serratia,Yersinia,NA,NA,Acidibacter,Candidatus Ovatusbacter,Marinicella,NA,Legionella,NA,Methylocaldum,Methylobacter,Methylophaga,NA,NA,Alcanivorax,Aestuariicella,Cellvibrio,Marinimicrobium,NA,Hahella,NA,Candidatus Portiera,Chromohalobacter,Halomonas,Salinicola,NA,NA,Marinobacter,Marinomonas,Acinetobacter,Alkanindiges,Enhydrobacter,Moraxella,Paraperlucidibaca,Psychrobacter,NA,BIyi10,Pseudohongiella,Pseudomonas,NA,Oceanobacter,NA,NA,Fontimonas,Panacagrimonas,Polycyclovorans,Steroidobacter,NA,Woeseia,NA,Aquimonas,Chiayiivirga,Chujaibacter,Dokdonella,Luteibacter,Rhodanobacter,NA,Arenimonas,Luteimonas,Lysobacter,Pseudoxanthomonas,SN8,Stenotrophomonas,Thermomonas,Xanthomonas,NA,NA,NA,NA,NA,Turneriella,NA,Treponema,Sumerlaea,Fretibacterium,Jonquetella,Lactivibrio,Pyramidobacter,NA,Candidatus Protochlamydia,Neochlamydia,NA,NA,NA,NA,horsej-a03,Victivallis,Candidatus Udaeobacter,Chthoniobacter,LD29,Terrimicrobium,NA,Alterococcus,Diplosphaera,IMCC26134,Lacunisphaera,Opitutus,Pelagicoccus,NA,Ellin516,Pedosphaera,NA,NA,Akkermansia,NA,Haloferula,Luteolibacter,NA,Prosthecobacter,Roseimicrobium,NA,NA
S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016301247,0,0,0,0,0.105958106,0,0.040753118,0.065204988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016301247,0,0,0.008150624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008150624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016301247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032602494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016301247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032602494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016301247,0,0,0,0,0,0,98.29651968,0,0,0,0,0,0,0,0,0,0,0,0.4156818,0,0,0,0.154861847,0,0,0,0,0,0,0,0.016301247,0,0,0,0,0,0,0.008150624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073355612,0,0,0.105958106,0,0,0,0,0.032602494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073355612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008150624,0,0,0,0,0,0,0,0,0.391229929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008150624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024451871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016301247,0,0,0,0,0,0,0,0
S10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05450391,0,0,0,0,64.36178018,0,0.003144456,0.001048152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003144456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209630422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.148334486,0.552376161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001048152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003144456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004192608,0,0,20.58465925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05974467,0.036685324,0,2.822673626,0,0,0,0,0,0,0,0,0,0,0,0.185522923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001048152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106911515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062889126,0,0,0.566002138,0,0,0,0,0.398297801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720080498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.104752322,0,0,0,0,0,0,0,0,0,0.004192608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001048152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001048152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001048152,0,0.001048152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
